SpinCore CPMG NMR\NQR Experiment
Spectrometer Frequency (MHz): 29.9016
Spectral Width (kHz): 100.0
Number of Acquisition Points: 12114.0
90 Degree Pulse-Width (us): 1.5
90 Degree Pulse Phase (Degrees): 0.00
Transient Delay (us): 15.00
Tau (ms): 1.00
Points Per Echo: 0.0
Number of Echoes: 60.0
Repetition Delay (s): 
Number of Scans: 100.0
ADC Clock Frequency (MHz): 75.00
Blanking Bit: 2.0
Deblank Delay: 3000.00
Output Amplitude Scaling: 1.00
Bypass FIR: Yes
 
Time (s), Magnitude Data
0.0067800, 59573.8418435
0.0067900, 63640.1245206
0.0068000, 50741.5462910
0.0068100, 59033.6570187
0.0068200, 63411.1843526
0.0068300, 85031.3920620
0.0068400, 44551.7956989
0.0068500, 103315.8805460
0.0068600, 91032.3651731
0.0068700, 116546.4908824
0.0068800, 133975.0801642
0.0068900, 135328.4612933
0.0069000, 169371.6201404
0.0069100, 177187.4542399
0.0069200, 156205.4088980
0.0069300, 178984.8806687
0.0069400, 137024.4570943
0.0069500, 142849.1013097
0.0069600, 146115.0374260
0.0069700, 180815.9985206
0.0069800, 254830.1829945
0.0069900, 292752.4035785
0.0070000, 264731.0489572
0.0070100, 13364162.1015359
0.0070200, 2196923.9170087
0.0070300, 61774.3674027
0.0070400, 184882.3045102
0.0070500, 424163.7930812
0.0070600, 656491.5620676
0.0070700, 666303.4550241
0.0070800, 645873.7391550
0.0070900, 604770.8411704
0.0071000, 560518.0336028
0.0071100, 473280.7211635
0.0071200, 404928.8433602
0.0071300, 392688.1485479
0.0071400, 367668.7006450
0.0071500, 361585.3370326
0.0071600, 331647.2914785
0.0071700, 290188.6036029
0.0071800, 246933.2596027
0.0071900, 189175.7261199
0.0072000, 198972.9501842
0.0072100, 169815.7997361
0.0072200, 185986.4315481
0.0072300, 116861.1807060
0.0072400, 139184.5565930
0.0072500, 121751.6339439
0.0072600, 107363.5019036
0.0072700, 132038.2514463
0.0072800, 111628.8554676
0.0072900, 120531.1062008
0.0073000, 113506.1553221
0.0073100, 134172.2804532
0.0073200, 125495.0126539
0.0073300, 101805.4373597
0.0073400, 111653.0902125
0.0073500, 135336.2968682
0.0073600, 127010.7615362
0.0073700, 112640.0065696
0.0073800, 114573.1626255
0.0073900, 97437.9374269
0.0074000, 123767.2000006
0.0074100, 97070.5473612
0.0074200, 120804.6102514
0.0074300, 96791.9434302
0.0074400, 105870.3970050
0.0074500, 102659.2498024
0.0074600, 114030.3392348
0.0074700, 88844.8180425
0.0074800, 105562.7304308
0.0074900, 136259.5820484
0.0075000, 90151.4863882
0.0075100, 142110.7482564
0.0075200, 99163.9883526
0.0075300, 120365.4370199
0.0075400, 121395.9099970
0.0075500, 135497.8030265
0.0075600, 142843.1997996
0.0075700, 100710.7726115
0.0075800, 145626.4803736
0.0075900, 157235.2011001
0.0076000, 138707.1000418
0.0076100, 152323.5405313
0.0076200, 167747.2606751
0.0076300, 164351.1227008
0.0076400, 210174.0985873
0.0076500, 159950.0147734
0.0076600, 203271.6150671
0.0076700, 188871.7774709
0.0076800, 215704.5061119
0.0076900, 188129.5609015
0.0077000, 219646.7273646
0.0077100, 251478.6926163
0.0077200, 206522.3623364
0.0077300, 253730.1751270
0.0077400, 234220.0710315
0.0077500, 236305.8216168
0.0077600, 249626.8480853
0.0077700, 323652.8414984
0.0077800, 246168.1881255
0.0077900, 277251.2695751
