SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1437.3779, 13038.1250
-1437.1948, 20492.0937
-1437.0117, 1043.1889
-1436.8286, 20847.5564
-1436.6455, 74144.4864
-1436.4624, 17194.3497
-1436.2793, 63723.4596
-1436.0962, 58934.2205
-1435.9131, 37096.4653
-1435.7300, 48454.2603
-1435.5469, 11686.9047
-1435.3638, 81402.6829
-1435.1807, 9755.4771
-1434.9976, 29480.7576
-1434.8145, 46191.6629
-1434.6313, 42439.0923
-1434.4482, 40843.8251
-1434.2651, 50777.5807
-1434.0820, 10842.0265
-1433.8989, 53093.0375
-1433.7158, 47927.5948
-1433.5327, 22724.9663
-1433.3496, 36961.9572
-1433.1665, 30169.8741
-1432.9834, 39899.7139
-1432.8003, 41279.5045
-1432.6172, 52111.3348
-1432.4341, 73637.2653
-1432.2510, 102639.8898
-1432.0679, 89784.4997
-1431.8848, 6769.6040
-1431.7017, 69393.0790
-1431.5186, 42099.8183
-1431.3354, 73283.5655
-1431.1523, 24635.1186
-1430.9692, 65462.1350
-1430.7861, 52431.1141
-1430.6030, 48587.1882
-1430.4199, 49740.8025
-1430.2368, 32475.4200
-1430.0537, 71372.7892
-1429.8706, 52541.4284
-1429.6875, 32676.8452
-1429.5044, 22825.2970
-1429.3213, 49689.5101
-1429.1382, 44619.2289
-1428.9551, 39767.3231
-1428.7720, 41902.7793
-1428.5889, 95514.2586
-1428.4058, 58302.6324
-1428.2227, 42146.0864
-1428.0396, 85598.3038
-1427.8564, 98664.9261
-1427.6733, 66351.7631
-1427.4902, 30621.8684
-1427.3071, 89879.8409
-1427.1240, 64259.2508
-1426.9409, 97059.7051
-1426.7578, 74346.5478
-1426.5747, 83070.2445
-1426.3916, 123548.4587
-1426.2085, 24468.2892
-1426.0254, 47775.5755
-1425.8423, 35653.3320
-1425.6592, 29655.9862
-1425.4761, 36947.4239
-1425.2930, 29112.6821
-1425.1099, 82830.0923
-1424.9268, 31267.3310
-1424.7437, 37066.2560
-1424.5605, 105029.7451
-1424.3774, 23160.1791
-1424.1943, 52935.6907
-1424.0112, 58584.0335
-1423.8281, 36244.0136
-1423.6450, 17956.9956
-1423.4619, 27717.4405
-1423.2788, 76395.9700
-1423.0957, 54868.0865
-1422.9126, 11180.0390
-1422.7295, 78733.8704
-1422.5464, 62568.3929
-1422.3633, 9259.5546
-1422.1802, 23825.1957
-1421.9971, 42416.7908
-1421.8140, 52022.5677
-1421.6309, 24763.5897
-1421.4478, 38361.9055
-1421.2646, 72828.0532
-1421.0815, 51081.1208
-1420.8984, 27588.3966
-1420.7153, 9082.8197
-1420.5322, 33373.1102
-1420.3491, 42650.7944
-1420.1660, 34248.3449
-1419.9829, 72462.2490
-1419.7998, 31352.6399
-1419.6167, 48338.8568
-1419.4336, 44117.1526
-1419.2505, 38473.7182
-1419.0674, 61668.2224
-1418.8843, 51634.2224
-1418.7012, 38636.9901
-1418.5181, 57775.4639
-1418.3350, 88045.9725
-1418.1519, 19973.0064
-1417.9688, 53230.7255
-1417.7856, 64951.5244
-1417.6025, 25446.8427
-1417.4194, 27525.5746
-1417.2363, 39107.2743
-1417.0532, 14969.2183
-1416.8701, 28892.9942
-1416.6870, 61436.6875
-1416.5039, 77696.2484
-1416.3208, 51322.3107
-1416.1377, 46712.3517
-1415.9546, 32116.7069
-1415.7715, 51683.4007
-1415.5884, 41739.1482
-1415.4053, 14263.2603
-1415.2222, 45160.5553
-1415.0391, 28073.4160
-1414.8560, 23151.6283
-1414.6729, 79332.2250
-1414.4897, 102478.3177
-1414.3066, 40720.8871
